"partyid","age","sex","race","degree","attend"
"Democrat",22,"1","2","0","6"
"Democrat",82,"2","2","4","7"
"Democrat",59,"2","2","4","6"
"Democrat",41,"1","2","1","0"
"Democrat",52,"1","1","1","5"
"Democrat",24,"2","1","1","5"
"Democrat",61,"2","1","4","5"
"Republican",37,"2","1","3","5"
"Republican",65,"2","1","3","5"
"Republican",33,"2","1","3","7"
"Republican",64,"2","1","0","2"
"Democrat",52,"1","2","3","3"
"Republican",19,"2","2","0","0"
"Republican",60,"1","1","1","0"
"Democrat",25,"2","2","1","6"
"Republican",51,"1","1","1","4"
"Republican",66,"2","1","1","3"
"Republican",87,"2","1","3","0"
"Democrat",26,"1","1","3","7"
"Democrat",76,"2","1","3","4"
"Democrat",47,"2","1","3","4"
"Republican",68,"1","3","4","7"
"Republican",53,"2","1","1","7"
"Democrat",30,"1","1","1","5"
"Republican",82,"1","1","1","7"
"Republican",34,"2","1","1","7"
"Republican",57,"1","1","1","3"
"Democrat",65,"2","1","1","7"
"Democrat",73,"1","1","1","8"
"Republican",50,"2","1","1","8"
"Republican",44,"1","1","3","5"
"Democrat",74,"1","1","4","0"
"Republican",19,"1","1","1","7"
"Republican",69,"1","1","1","7"
"Republican",62,"1","1","1","2"
"Democrat",28,"2","1","1","4"
"Republican",44,"1","1","4","0"
